positive_ratings,negative_ratings,owners,average_playtime,median_playtime,price
124534,3339,15000000.0,17612,317,7.19
3318,633,7500000.0,277,62,3.99
3416,398,7500000.0,187,34,3.99
1273,267,7500000.0,258,184,3.99
5250,288,7500000.0,624,415,3.99
2758,684,7500000.0,175,10,3.99
27755,1100,7500000.0,1300,83,7.19
12120,1439,15000000.0,427,43,7.19
3822,420,7500000.0,361,205,3.99
67902,2419,15000000.0,691,402,7.19
76640,3497,15000000.0,6842,400,7.19
3767,1053,3500000.0,190,214,0.0
10489,1210,7500000.0,1356,134,7.19
6020,787,15000000.0,311,32,3.99
5783,1020,15000000.0,46,29,0.0
1362,473,7500000.0,102,81,0.0
7908,517,7500000.0,281,184,5.79
51801,1080,15000000.0,288,137,7.19
13902,696,7500000.0,354,301,5.79
515879,34036,35000000.0,8495,623,0.0
17951,948,7500000.0,897,278,7.19
251789,8418,15000000.0,1615,566,7.19
863507,142079,150000000.0,23944,801,0.0
138220,1891,15000000.0,1102,520,7.19
17435,941,3500000.0,371,83,0.0
2644404,402313,75000000.0,22494,6502,0.0
40,17,35000.0,0,0,5.99
1562,223,750000.0,232,258,3.99
53710,2649,3500000.0,1328,306,14.99
468,61,150000.0,0,0,7.19
472,158,750000.0,182,273,7.19
1602,152,750000.0,65,77,6.99
2057,344,750000.0,80,119,7.19
368,75,750000.0,121,224,7.19
140,44,75000.0,0,0,22.99
112,26,75000.0,0,0,6.99
451,108,150000.0,0,0,4.99
490,152,150000.0,9,12,4.99
137,102,35000.0,0,0,3.99
191,85,75000.0,35,35,10.99
671,106,150000.0,11,21,2.99
15083,1111,1500000.0,239,77,0.0
498,238,1500000.0,405,414,3.99
2656,1055,1500000.0,484,422,6.99
4386,316,1500000.0,634,700,4.29
1362,66,350000.0,123,103,12.99
891,171,350000.0,36,32,12.99
1773,87,350000.0,69,110,2.99
3705,257,750000.0,125,179,3.99
573,82,350000.0,120,114,3.99
2517,182,750000.0,90,78,3.99
2618,136,350000.0,167,189,3.99
1369,107,350000.0,291,349,3.99
65,12,350000.0,32,32,2.49
54,33,350000.0,1,1,2.49
108,31,350000.0,0,0,12.99
249,26,350000.0,50,50,2.99
57,20,150000.0,0,0,2.99
417,29,350000.0,0,0,2.99
4819,792,1500000.0,233,239,0.0
662,204,150000.0,193,193,4.29
973,248,750000.0,186,258,3.99
52,46,75000.0,0,0,0.0
610,523,350000.0,0,0,2.99
6161,362,750000.0,350,202,14.99
740,87,75000.0,462,889,9.99
1555,117,350000.0,545,849,14.99
2434,236,350000.0,750,1041,14.99
490,97,350000.0,0,0,14.99
180,33,35000.0,0,0,1.99
31,9,35000.0,0,0,3.99
145,77,35000.0,0,0,5.99
212,50,350000.0,732,732,4.99
282,113,350000.0,831,1232,9.99
1633,272,750000.0,972,1273,15.99
142,48,350000.0,648,648,3.49
57,18,35000.0,13,13,3.49
2832,4032,350000.0,1744,3386,24.99
52,17,35000.0,0,0,22.99
